"Field Heading","Field Name"
"PctBchDHM","Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher"
"PctBchDHP","Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher"
"PctBchDHZ","Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher"
"CvPop18plE","Estimate; VETERAN STATUS - Civilian population 18 years and over"
"CvPop18plM","Margin of Error; VETERAN STATUS - Civilian population 18 years and over"
"CvPop18plP","Percent; VETERAN STATUS - Civilian population 18 years and over"
"CvPop18plZ","Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over"
"CvVet18plE","Estimate; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans"
"CvVet18plM","Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans"
"CvVet18plP","Percent; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans"
"CvVet18plZ","Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans"
"CvNIPopE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population"
"CvNIPopM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population"
"CvNIPopP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population"
"CvNIPopZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population"
"CvNIDE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability"
"CvNIDM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability"
"CvNIDP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability"
"CvNIDZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability"
"CvNIU18E","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years"
"CvNIU18M","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years"
"CvNIU18P","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years"
"CvNIU18Z","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years"
"CvNIU18DE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability"
"CvNIU18DM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability"
"CvNIU18DP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability"
"CvNIU18DZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability"
"CvNI18t64E","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years"
"CvNI18t64M","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years"
"CvNI18t64P","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years"
"CvNI18t64Z","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years"
"CNI18t64DE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability"
"CNI18t64DM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability"
"CNI18t64DP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability"
"CNI18t64DZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability"
"CvNI65plE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over"
"CvNI65plM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over"
"CvNI65plP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over"
"CvNI65plZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over"
"CvNI65plDE","Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability"
"CvNI65plDM","Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability"
"CvNI65plDP","Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability"
"CvNI65plDZ","Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability"
"Pop1plE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over"
"Pop1plM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over"
"Pop1plP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over"
"Pop1plZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over"
"SmHsE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house"
"SmHsM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house"
"SmHsP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house"
"SmHsZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house"
"DfHsUSE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S."
"DfHsUSM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S."
"DfHsUSP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S."
"DfHsUSZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S."
"DfHsSmCntE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county"
"DfHsSmCntM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county"
"DfHsSmCntP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county"
"DfHsSmCntZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county"
"DfHsDfCntE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county"
"DfHsDfCntM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county"
"DfHsDfCntP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county"
"DfHsDfCntZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county"
"DfCntSmStE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state"
"DfCntSmStM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state"
"DfCntSmStP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state"
"DfCntSmStZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state"
"DfCntDfStE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state"
"DfCntDfStM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state"
"DfCntDfStP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state"
"DfCntDfStZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state"
"AbroadE","Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad"
"AbroadM","Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad"
"AbroadP","Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad"
"AbroadZ","Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad"
"PopE","Estimate; PLACE OF BIRTH - Total population"
"PopM","Margin of Error; PLACE OF BIRTH - Total population"
"PopP","Percent; PLACE OF BIRTH - Total population"
"PopZ","Percent Margin of Error; PLACE OF BIRTH - Total population"
"NtvE","Estimate; PLACE OF BIRTH - Total population - Native"
"NtvM","Margin of Error; PLACE OF BIRTH - Total population - Native"
"NtvP","Percent; PLACE OF BIRTH - Total population - Native"
"NtvZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Native"
"NtvUSE","Estimate; PLACE OF BIRTH - Total population - Native - Born in United States"
"NtvUSM","Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States"
"NtvUSP","Percent; PLACE OF BIRTH - Total population - Native - Born in United States"
"NtvUSZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States"
"NtvStRsE","Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence"
"NtvStRsM","Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence"
"NtvStRsP","Percent; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence"
"NtvStRsZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence"
"NtvDfStE","Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - Different state"
"NtvDfStM","Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state"
"NtvDfStP","Percent; PLACE OF BIRTH - Total population - Native - Born in United States - Different state"
"NtvDfStZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in United States - Different state"
"NtvPRUSAbE","Estimate; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
"NtvPRUSAbM","Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
"NtvPRUSAbP","Percent; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
"NtvPRUSAbZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
"FbE","Estimate; PLACE OF BIRTH - Total population - Foreign born"
"FbM","Margin of Error; PLACE OF BIRTH - Total population - Foreign born"
"FbP","Percent; PLACE OF BIRTH - Total population - Foreign born"
"FbZ","Percent Margin of Error; PLACE OF BIRTH - Total population - Foreign born"
"FbE","Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population"
"FbM","Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population"
"FbP","Percent; U.S. CITIZENSHIP STATUS - Foreign-born population"
"FbZ","Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population"
"FbNtlzdE","Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen"
"FbNtlzdM","Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen"
"FbNtlzdP","Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen"
"FbNtlzdZ","Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen"
"FbNotCznE","Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen"
"FbNotCznM","Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen"
"FbNotCznP","Percent; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen"
"FbNotCznZ","Percent Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen"
"PNtBrnUSE","Estimate; YEAR OF ENTRY - Population born outside the United States"
"PNtBrnUSM","Margin of Error; YEAR OF ENTRY - Population born outside the United States"
"PNtBrnUSP","Percent; YEAR OF ENTRY - Population born outside the United States"
"PNtBrnUSZ","Percent Margin of Error; YEAR OF ENTRY - Population born outside the United States"
"NbYoEE","Estimate; YEAR OF ENTRY - Native"
"NbYoEM","Margin of Error; YEAR OF ENTRY - Native"
"NbYoEP","Percent; YEAR OF ENTRY - Native"
"NbYoEZ","Percent Margin of Error; YEAR OF ENTRY - Native"
"Nb2010ltrE","Estimate; YEAR OF ENTRY - Native - Entered 2010 or later"
"Nb2010ltrM","Margin of Error; YEAR OF ENTRY - Native - Entered 2010 or later"
"Nb2010ltrP","Percent; YEAR OF ENTRY - Native - Entered 2010 or later"
"Nb2010ltrZ","Percent Margin of Error; YEAR OF ENTRY - Native - Entered 2010 or later"
"NbBf2010E","Estimate; YEAR OF ENTRY - Native - Entered before 2010"
"NbBf2010M","Margin of Error; YEAR OF ENTRY - Native - Entered before 2010"
"NbBf2010P","Percent; YEAR OF ENTRY - Native - Entered before 2010"
"NbBf2010Z","Percent Margin of Error; YEAR OF ENTRY - Native - Entered before 2010"
"FbE","Estimate; YEAR OF ENTRY - Foreign born"
"FbM","Margin of Error; YEAR OF ENTRY - Foreign born"
"FbP","Percent; YEAR OF ENTRY - Foreign born"
"FbZ","Percent Margin of Error; YEAR OF ENTRY - Foreign born"
"Fb2010ltrE","Estimate; YEAR OF ENTRY - Foreign born - Entered 2010 or later"
"Fb2010ltrM","Margin of Error; YEAR OF ENTRY - Foreign born - Entered 2010 or later"
"Fb2010ltrP","Percent; YEAR OF ENTRY - Foreign born - Entered 2010 or later"
"Fb2010ltrZ","Percent Margin of Error; YEAR OF ENTRY - Foreign born - Entered 2010 or later"
"FbBf2010E","Estimate; YEAR OF ENTRY - Foreign born - Entered before 2010"
"FbBf2010M","Margin of Error; YEAR OF ENTRY - Foreign born - Entered before 2010"
"FbBf2010P","Percent; YEAR OF ENTRY - Foreign born - Entered before 2010"
"FbBf2010Z","Percent Margin of Error; YEAR OF ENTRY - Foreign born - Entered before 2010"
"FbNotBASE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
"FbNotBASM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
"FbNotBASP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
"FbNotBASZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
"Fb_EurE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
"Fb_EurM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
"Fb_EurP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
"Fb_EurZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe"
"Fb_AsiaE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
"Fb_AsiaM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
"Fb_AsiaP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
"Fb_AsiaZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia"
"Fb_AfrE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
"Fb_AfrM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
"Fb_AfrP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
"Fb_AfrZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa"
"Fb_OcnE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
"Fb_OcnM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
"Fb_OcnP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
"Fb_OcnZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania"
"Fb_LtnAmE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
"Fb_LtnAmM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
"Fb_LtnAmP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
"Fb_LtnAmZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America"
"Fb_NAmE","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
"Fb_NAmM","Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
"Fb_NAmP","Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
"Fb_NAmZ","Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America"
,
"GIS_3",
,
"Pop5plE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over"
"Pop5plM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over"
"Pop5plP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over"
"Pop5plZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over"
"EngOnlyE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only"
"EngOnlyM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only"
"EngOnlyP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only"
"EngOnlyZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only"
"LgOEngE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English"
"LgOEngM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English"
"LgOEngP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English"
"LgOEngZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English"
"LgOEngLEPE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
"LgOEngLEPM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
"LgOEngLEPP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
"LgOEngLEPZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well"""
"LgSpE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish"
"LgSpM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish"
"LgSpP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish"
"LgSpZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish"
"LgSpLEPE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
"LgSpLEPM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
"LgSpLEPP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
"LgSpLEPZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well"""
"LgOEurE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages"
"LgOEurM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages"
"LgOEurP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages"
"LgOEurZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages"
"LgOEurLEPE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
"LgOEurLEPM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
"LgOEurLEPP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
"LgOEurLEPZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well"""
"LgAsPIE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages"
"LgAsPIM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages"
"LgAsPIP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages"
"LgAsPIZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages"
"LgAsPILEPE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
"LgAsPILEPM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
"LgAsPILEPP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
"LgAsPILEPZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well"""
"LgOLgE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages"
"LgOLgM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages"
"LgOLgP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages"
"LgOLgZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages"
"LgOLgLEPE","Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
"LgOLgLEPM","Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
"LgOLgLEPP","Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
"LgOLgLEPZ","Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well"""
"PopE","Estimate; ANCESTRY - Total population"
"PopM","Margin of Error; ANCESTRY - Total population"
"PopP","Percent; ANCESTRY - Total population"
"PopZ","Percent Margin of Error; ANCESTRY - Total population"
"AncAmE","Estimate; ANCESTRY - Total population - American"
"AncAmM","Margin of Error; ANCESTRY - Total population - American"
"AncAmP","Percent; ANCESTRY - Total population - American"
"AncAmZ","Percent Margin of Error; ANCESTRY - Total population - American"
"AncArbE","Estimate; ANCESTRY - Total population - Arab"
"AncArbM","Margin of Error; ANCESTRY - Total population - Arab"
"AncArbP","Percent; ANCESTRY - Total population - Arab"
"AncArbZ","Percent Margin of Error; ANCESTRY - Total population - Arab"
"AncCzhE","Estimate; ANCESTRY - Total population - Czech"
"AncCzhM","Margin of Error; ANCESTRY - Total population - Czech"
"AncCzhP","Percent; ANCESTRY - Total population - Czech"
"AncCzhZ","Percent Margin of Error; ANCESTRY - Total population - Czech"
"AncDnshE","Estimate; ANCESTRY - Total population - Danish"
"AncDnshM","Margin of Error; ANCESTRY - Total population - Danish"
"AncDnshP","Percent; ANCESTRY - Total population - Danish"
"AncDnshZ","Percent Margin of Error; ANCESTRY - Total population - Danish"
"AncDtchE","Estimate; ANCESTRY - Total population - Dutch"
"AncDtchM","Margin of Error; ANCESTRY - Total population - Dutch"
"AncDtchP","Percent; ANCESTRY - Total population - Dutch"
"AncDtchZ","Percent Margin of Error; ANCESTRY - Total population - Dutch"
"AncEngE","Estimate; ANCESTRY - Total population - English"
"AncEngM","Margin of Error; ANCESTRY - Total population - English"
"AncEngP","Percent; ANCESTRY - Total population - English"
"AncEngZ","Percent Margin of Error; ANCESTRY - Total population - English"
"AncFrnE","Estimate; ANCESTRY - Total population - French (except Basque)"
"AncFrnM","Margin of Error; ANCESTRY - Total population - French (except Basque)"
"AncFrnP","Percent; ANCESTRY - Total population - French (except Basque)"
"AncFrnZ","Percent Margin of Error; ANCESTRY - Total population - French (except Basque)"
"AncFrnCndE","Estimate; ANCESTRY - Total population - French Canadian"
"AncFrnCndM","Margin of Error; ANCESTRY - Total population - French Canadian"
"AncFrnCndP","Percent; ANCESTRY - Total population - French Canadian"
"AncFrnCndZ","Percent Margin of Error; ANCESTRY - Total population - French Canadian"
"AncGrmE","Estimate; ANCESTRY - Total population - German"
"AncGrmM","Margin of Error; ANCESTRY - Total population - German"
"AncGrmP","Percent; ANCESTRY - Total population - German"
"AncGrmZ","Percent Margin of Error; ANCESTRY - Total population - German"
"AncGrkE","Estimate; ANCESTRY - Total population - Greek"
"AncGrkM","Margin of Error; ANCESTRY - Total population - Greek"
"AncGrkP","Percent; ANCESTRY - Total population - Greek"
"AncGrkZ","Percent Margin of Error; ANCESTRY - Total population - Greek"
"AncHngE","Estimate; ANCESTRY - Total population - Hungarian"
"AncHngM","Margin of Error; ANCESTRY - Total population - Hungarian"
"AncHngP","Percent; ANCESTRY - Total population - Hungarian"
"AncHngZ","Percent Margin of Error; ANCESTRY - Total population - Hungarian"
"AncIrsE","Estimate; ANCESTRY - Total population - Irish"
"AncIrsM","Margin of Error; ANCESTRY - Total population - Irish"
"AncIrsP","Percent; ANCESTRY - Total population - Irish"
"AncIrsZ","Percent Margin of Error; ANCESTRY - Total population - Irish"
"AncItlE","Estimate; ANCESTRY - Total population - Italian"
"AncItlM","Margin of Error; ANCESTRY - Total population - Italian"
"AncItlP","Percent; ANCESTRY - Total population - Italian"
"AncItlZ","Percent Margin of Error; ANCESTRY - Total population - Italian"
"AncLthnE","Estimate; ANCESTRY - Total population - Lithuanian"
"AncLthnM","Margin of Error; ANCESTRY - Total population - Lithuanian"
"AncLthnP","Percent; ANCESTRY - Total population - Lithuanian"
"AncLthnZ","Percent Margin of Error; ANCESTRY - Total population - Lithuanian"
"AncNrwgnE","Estimate; ANCESTRY - Total population - Norwegian"
"AncNrwgnM","Margin of Error; ANCESTRY - Total population - Norwegian"
"AncNrwgnP","Percent; ANCESTRY - Total population - Norwegian"
"AncNrwgnZ","Percent Margin of Error; ANCESTRY - Total population - Norwegian"
